From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Albania,Belgium,20,16,24,22,24,25,14,,
Albania,Czech Republic,21,15,25,23,16,22,22,,
Albania,The Netherlands,22,14,23,24,21,24,24,,
Albania,Azerbaijan,19,12,11,21,11,13,19,,
Albania,Hungary,8,13,9,14,9,10,10,1.0,1.0
Albania,Italy,4,10,3,7,2,3,2,8.0,10.0
Albania,Israel,10,2,18,4,12,8,17,3.0,
Albania,Bulgaria,11,3,6,13,6,7,3,4.0,8.0
Albania,Sweden,16,8,15,6,15,11,8,,3.0
Albania,Germany,18,17,20,11,17,18,15,,
Albania,France,3,9,1,9,1,2,11,10.0,
Albania,Poland,14,7,13,20,22,14,6,,5.0
Albania,Australia,1,1,2,1,3,1,1,12.0,12.0
Albania,Cyprus,25,11,21,25,20,23,12,,
Albania,Serbia,15,26,12,15,19,19,26,,
Albania,Lithuania,13,18,22,17,23,20,7,,4.0
Albania,Croatia,24,19,16,18,18,21,20,,
Albania,Russia,7,4,7,5,7,4,4,7.0,7.0
Albania,Spain,9,5,4,12,4,5,23,6.0,
Albania,Latvia,23,20,17,8,13,17,21,,
Albania,Ukraine,17,25,8,2,8,12,5,,6.0
Albania,Malta,5,21,5,16,5,9,16,2.0,
Albania,Georgia,26,22,26,26,26,26,25,,
Albania,Austria,6,23,19,19,14,16,13,,
Albania,United Kingdom,2,6,10,10,10,6,18,5.0,
Albania,Armenia,12,24,14,3,25,15,9,,2.0
Armenia,Belgium,12,6,9,6,6,7,17,4.0,
Armenia,Czech Republic,13,14,12,8,9,10,18,1.0,
Armenia,The Netherlands,11,12,14,16,10,11,11,,
Armenia,Azerbaijan,25,25,25,19,25,25,25,,
Armenia,Hungary,23,22,10,22,11,18,8,,3.0
Armenia,Italy,14,13,19,25,20,20,14,,
Armenia,Israel,20,24,22,17,24,24,24,,
Armenia,Bulgaria,4,4,5,5,4,4,15,7.0,
Armenia,Sweden,21,8,18,21,18,17,9,,2.0
Armenia,Germany,22,23,20,18,15,21,19,,
Armenia,France,1,1,1,1,1,1,4,12.0,7.0
Armenia,Poland,24,10,24,24,22,23,10,,1.0
Armenia,Australia,6,9,6,9,8,6,12,5.0,
Armenia,Cyprus,10,3,4,3,5,5,5,6.0,6.0
Armenia,Serbia,9,21,11,11,14,12,23,,
Armenia,Lithuania,16,15,16,10,19,14,21,,
Armenia,Croatia,15,19,17,13,17,15,22,,
Armenia,Russia,5,17,7,7,16,9,1,2.0,12.0
Armenia,Spain,8,7,8,12,7,8,13,3.0,
Armenia,Latvia,17,11,13,15,12,13,16,,
Armenia,Ukraine,7,20,21,14,23,16,2,,10.0
Armenia,Malta,3,5,3,4,3,3,6,8.0,5.0
Armenia,Georgia,2,2,2,2,2,2,3,10.0,8.0
Armenia,Austria,18,16,23,20,21,22,7,,4.0
Armenia,United Kingdom,19,18,15,23,13,19,20,,
Australia,Belgium,1,2,1,1,1,1,1,12.0,12.0
Australia,Czech Republic,18,23,4,14,22,16,25,,
Australia,The Netherlands,10,14,11,4,10,8,16,3.0,
Australia,Azerbaijan,7,20,15,15,11,12,22,,
Australia,Hungary,22,6,10,24,23,19,19,,
Australia,Italy,11,16,24,16,16,17,23,,
Australia,Israel,4,3,3,2,2,2,14,10.0,
Australia,Bulgaria,2,1,7,3,3,3,2,8.0,10.0
Australia,Sweden,16,21,22,17,25,23,20,,
Australia,Germany,19,12,16,12,17,14,21,,
Australia,France,5,7,13,7,5,5,4,6.0,7.0
Australia,Poland,25,19,14,25,12,22,15,,
Australia,Cyprus,23,18,6,20,21,20,13,,
Australia,Serbia,8,17,21,13,7,11,17,,
Australia,Lithuania,6,4,5,5,4,4,10,7.0,1.0
Australia,Croatia,17,8,8,19,13,10,18,1.0,
Australia,Russia,24,13,17,22,8,18,6,,5.0
Australia,Spain,3,5,18,6,6,6,9,5.0,2.0
Australia,Latvia,14,9,25,8,24,15,11,,
Australia,Ukraine,13,10,9,9,9,9,3,2.0,8.0
Australia,Malta,15,24,19,18,14,21,5,,6.0
Australia,Georgia,21,25,20,21,18,25,24,,
Australia,Austria,20,15,23,23,20,24,8,,3.0
Australia,United Kingdom,9,11,2,11,15,7,7,4.0,4.0
Australia,Armenia,12,22,12,10,19,13,12,,
Austria,Belgium,1,12,10,6,9,6,14,5.0,
Austria,Czech Republic,12,7,7,9,7,7,23,4.0,
Austria,The Netherlands,9,11,11,7,16,11,5,,6.0
Austria,Azerbaijan,23,17,9,8,5,12,24,,
Austria,Hungary,14,16,17,25,19,19,11,,
Austria,Italy,22,18,13,11,22,17,13,,
Austria,Israel,10,14,12,12,15,13,17,,
Austria,Bulgaria,6,10,14,17,20,14,6,,5.0
Austria,Sweden,3,5,4,10,4,3,4,8.0,7.0
Austria,Germany,17,21,24,19,18,23,9,,2.0
Austria,France,5,3,3,18,3,4,10,7.0,1.0
Austria,Poland,20,25,25,23,25,25,1,,12.0
Austria,Australia,2,1,1,1,2,1,8,12.0,3.0
Austria,Cyprus,24,19,21,20,21,24,16,,
Austria,Serbia,13,13,23,24,24,22,7,,4.0
Austria,Lithuania,16,6,6,16,10,10,20,1.0,
Austria,Croatia,8,9,5,5,8,5,19,6.0,
Austria,Russia,21,8,8,4,6,8,3,3.0,8.0
Austria,Spain,19,20,20,3,11,15,15,,
Austria,Latvia,18,24,19,22,13,21,18,,
Austria,Ukraine,15,15,16,13,23,16,2,,10.0
Austria,Malta,11,2,2,2,1,2,25,10.0,
Austria,Georgia,25,23,15,14,17,20,21,,
Austria,United Kingdom,7,22,22,21,14,18,22,,
Austria,Armenia,4,4,18,15,12,9,12,2.0,
Azerbaijan,Belgium,17,11,23,23,23,22,16,,
Azerbaijan,Czech Republic,10,23,14,18,10,16,20,,
Azerbaijan,The Netherlands,4,14,21,11,16,13,19,,
Azerbaijan,Hungary,3,22,8,6,3,7,4,4.0,7.0
Azerbaijan,Italy,13,21,19,19,21,21,13,,
Azerbaijan,Israel,6,6,4,7,20,8,5,3.0,6.0
Azerbaijan,Bulgaria,7,2,6,5,9,3,3,8.0,8.0
Azerbaijan,Sweden,23,16,18,16,17,20,12,,
Azerbaijan,Germany,20,19,17,24,22,23,22,,
Azerbaijan,France,12,9,5,20,18,12,7,,4.0
Azerbaijan,Poland,14,4,11,10,6,9,8,2.0,3.0
Azerbaijan,Australia,11,7,3,8,5,4,9,7.0,2.0
Azerbaijan,Cyprus,16,20,22,12,19,19,17,,
Azerbaijan,Serbia,21,15,10,21,15,18,24,,
Azerbaijan,Lithuania,8,12,7,9,4,6,18,5.0,
Azerbaijan,Croatia,9,8,20,14,8,11,21,,
Azerbaijan,Russia,1,1,1,1,1,1,1,12.0,12.0
Azerbaijan,Spain,15,10,12,15,7,10,15,1.0,
Azerbaijan,Latvia,22,13,15,17,13,17,14,,
Azerbaijan,Ukraine,2,3,2,2,2,2,2,10.0,10.0
Azerbaijan,Malta,5,5,9,3,14,5,6,6.0,5.0
Azerbaijan,Georgia,24,24,24,22,24,24,10,,1.0
Azerbaijan,Austria,18,18,13,13,11,15,11,,
Azerbaijan,United Kingdom,19,17,16,4,12,14,23,,
Azerbaijan,Armenia,25,25,25,25,25,25,25,,
Belarus,Belgium,10,7,7,4,9,7,18,4.0,
Belarus,Czech Republic,22,24,17,16,19,20,25,,
Belarus,The Netherlands,12,11,6,12,18,11,21,,
Belarus,Azerbaijan,13,12,12,11,8,9,3,2.0,8.0
Belarus,Hungary,7,25,18,6,10,13,8,,3.0
Belarus,Italy,23,10,23,24,17,19,19,,
Belarus,Israel,11,23,22,13,12,16,16,,
Belarus,Bulgaria,8,9,13,17,11,10,7,1.0,4.0
Belarus,Sweden,3,3,3,5,3,3,9,8.0,2.0
Belarus,Germany,25,19,24,19,21,23,20,,
Belarus,France,19,20,19,20,14,18,14,,
Belarus,Poland,16,21,5,9,22,14,5,,6.0
Belarus,Australia,9,4,8,2,7,5,10,6.0,1.0
Belarus,Cyprus,14,15,14,22,23,17,11,,
Belarus,Serbia,20,22,21,21,16,22,24,,
Belarus,Lithuania,2,8,1,1,4,2,12,10.0,
Belarus,Croatia,17,16,26,14,25,21,23,,
Belarus,Russia,1,1,2,3,2,1,1,12.0,12.0
Belarus,Spain,15,5,10,18,15,12,17,,
Belarus,Latvia,21,17,25,23,24,24,6,,5.0
Belarus,Ukraine,4,6,4,7,1,4,2,7.0,10.0
Belarus,Malta,6,2,9,8,6,6,22,5.0,
Belarus,Georgia,18,18,11,15,13,15,15,,
Belarus,Austria,26,13,20,26,26,26,13,,
Belarus,United Kingdom,24,26,15,25,20,25,26,,
Belarus,Armenia,5,14,16,10,5,8,4,3.0,7.0
Belgium,Czech Republic,13,14,8,8,9,10,23,1.0,
Belgium,The Netherlands,3,4,13,7,10,7,2,4.0,10.0
Belgium,Azerbaijan,24,18,24,19,20,24,22,,
Belgium,Hungary,22,25,21,14,11,20,19,,
Belgium,Italy,2,6,5,1,3,2,13,10.0,
Belgium,Israel,6,8,15,15,7,9,17,2.0,
Belgium,Bulgaria,5,7,10,6,8,5,6,6.0,5.0
Belgium,Sweden,25,16,19,20,24,23,10,,1.0
Belgium,Germany,16,17,9,21,12,14,21,,
Belgium,France,4,1,1,12,16,3,3,8.0,8.0
Belgium,Poland,18,13,25,16,19,19,1,,12.0
Belgium,Australia,1,2,2,3,1,1,7,12.0,4.0
Belgium,Cyprus,17,20,11,22,14,18,14,,
Belgium,Serbia,14,12,20,23,13,16,24,,
Belgium,Lithuania,7,21,16,17,18,15,12,,
Belgium,Croatia,19,22,18,9,15,17,25,,
Belgium,Russia,15,5,7,10,17,11,5,,6.0
Belgium,Spain,8,11,6,24,6,12,11,,
Belgium,Latvia,21,19,22,11,25,22,16,,
Belgium,Ukraine,20,10,4,5,2,8,9,3.0,2.0
Belgium,Malta,10,24,17,25,21,21,15,,
Belgium,Georgia,12,3,14,2,5,4,20,7.0,
Belgium,Austria,11,15,3,4,4,6,8,5.0,3.0
Belgium,United Kingdom,9,9,12,13,22,13,18,,
Belgium,Armenia,23,23,23,18,23,25,4,,7.0
Bosnia & Herzegovina,Belgium,14,16,12,6,17,12,15,,
Bosnia & Herzegovina,Czech Republic,3,6,8,4,5,5,20,6.0,
Bosnia & Herzegovina,The Netherlands,18,17,22,22,22,22,21,,
Bosnia & Herzegovina,Azerbaijan,19,5,13,10,15,10,3,1.0,8.0
Bosnia & Herzegovina,Hungary,12,19,14,13,13,13,10,,1.0
Bosnia & Herzegovina,Italy,22,23,25,23,18,25,18,,
Bosnia & Herzegovina,Israel,20,15,26,11,16,18,24,,
Bosnia & Herzegovina,Bulgaria,4,12,5,12,11,8,9,3.0,2.0
Bosnia & Herzegovina,Sweden,24,20,15,14,20,19,11,,
Bosnia & Herzegovina,Germany,25,14,11,15,12,16,16,,
Bosnia & Herzegovina,France,7,4,4,8,3,4,7,7.0,4.0
Bosnia & Herzegovina,Poland,15,21,16,21,21,20,14,,
Bosnia & Herzegovina,Australia,2,1,2,5,2,2,8,10.0,3.0
Bosnia & Herzegovina,Cyprus,13,8,17,24,19,17,13,,
Bosnia & Herzegovina,Serbia,6,7,3,1,7,3,1,8.0,12.0
Bosnia & Herzegovina,Lithuania,26,25,21,9,25,24,23,,
Bosnia & Herzegovina,Croatia,9,9,9,3,8,7,2,4.0,10.0
Bosnia & Herzegovina,Russia,8,3,10,7,6,6,5,5.0,6.0
Bosnia & Herzegovina,Spain,16,18,7,25,9,15,17,,
Bosnia & Herzegovina,Latvia,11,22,6,16,10,11,22,,
Bosnia & Herzegovina,Ukraine,1,2,1,2,1,1,4,12.0,7.0
Bosnia & Herzegovina,Malta,10,11,18,18,14,14,19,,
Bosnia & Herzegovina,Georgia,23,24,19,17,23,23,26,,
Bosnia & Herzegovina,Austria,21,26,23,26,26,26,6,,5.0
Bosnia & Herzegovina,United Kingdom,17,13,24,19,24,21,25,,
Bosnia & Herzegovina,Armenia,5,10,20,20,4,9,12,2.0,
Bulgaria,Belgium,4,4,1,3,2,2,13,10.0,
Bulgaria,Czech Republic,16,22,16,15,12,16,24,,
Bulgaria,The Netherlands,17,11,18,5,8,9,23,2.0,
Bulgaria,Azerbaijan,18,12,21,22,13,18,10,,1.0
Bulgaria,Hungary,23,9,15,24,25,21,16,,
Bulgaria,Italy,22,24,22,18,17,24,18,,
Bulgaria,Israel,20,8,8,13,15,12,9,,2.0
Bulgaria,Sweden,10,17,19,25,22,20,8,,3.0
Bulgaria,Germany,24,14,23,21,21,25,22,,
Bulgaria,France,15,21,20,20,20,22,12,,
Bulgaria,Poland,11,23,12,7,10,11,5,,6.0
Bulgaria,Australia,5,3,2,4,1,3,6,8.0,5.0
Bulgaria,Cyprus,21,19,24,19,19,23,4,,7.0
Bulgaria,Serbia,2,7,4,11,7,6,11,5.0,
Bulgaria,Lithuania,12,6,9,17,18,10,15,1.0,
Bulgaria,Croatia,19,18,17,16,6,15,25,,
Bulgaria,Russia,1,10,5,10,4,5,1,6.0,12.0
Bulgaria,Spain,7,16,10,6,11,7,17,4.0,
Bulgaria,Latvia,8,13,11,9,23,14,14,,
Bulgaria,Ukraine,25,5,7,23,24,17,2,,10.0
Bulgaria,Malta,9,2,13,1,5,4,19,7.0,
Bulgaria,Georgia,6,20,6,8,16,8,20,3.0,
Bulgaria,Austria,13,25,25,14,14,19,7,,4.0
Bulgaria,United Kingdom,14,15,14,12,9,13,21,,
Bulgaria,Armenia,3,1,3,2,3,1,3,12.0,8.0
Croatia,Belgium,6,18,18,15,6,12,18,,
Croatia,Czech Republic,18,7,2,1,2,2,20,10.0,
Croatia,The Netherlands,1,21,13,21,9,14,15,,
Croatia,Azerbaijan,17,9,20,9,20,19,14,,
Croatia,Hungary,11,15,12,2,3,6,8,5.0,3.0
Croatia,Italy,5,3,5,17,16,8,11,3.0,
Croatia,Israel,3,8,6,8,12,4,22,7.0,
Croatia,Bulgaria,25,16,19,16,15,20,10,,1.0
Croatia,Sweden,10,19,7,19,17,18,4,,7.0
Croatia,Germany,14,23,25,25,25,24,16,,
Croatia,France,2,4,11,10,7,3,9,8.0,2.0
Croatia,Poland,16,10,21,18,5,17,7,,4.0
Croatia,Australia,4,6,8,4,1,1,6,12.0,5.0
Croatia,Cyprus,9,17,10,11,4,10,13,1.0,
Croatia,Serbia,12,11,4,7,14,9,1,2.0,12.0
Croatia,Lithuania,8,20,14,14,11,15,23,,
Croatia,Russia,19,2,3,6,10,5,3,6.0,8.0
Croatia,Spain,22,22,22,20,21,22,19,,
Croatia,Latvia,23,5,15,5,8,11,17,,
Croatia,Ukraine,24,12,1,12,19,16,2,,10.0
Croatia,Malta,7,14,16,13,13,13,24,,
Croatia,Georgia,21,25,23,24,24,25,21,,
Croatia,Austria,20,13,17,22,22,21,5,,6.0
Croatia,United Kingdom,13,24,24,23,23,23,25,,
Croatia,Armenia,15,1,9,3,18,7,12,4.0,
Cyprus,Belgium,16,19,22,22,18,23,17,,
Cyprus,Czech Republic,10,13,19,13,8,11,24,,
Cyprus,The Netherlands,23,14,18,23,24,24,20,,
Cyprus,Azerbaijan,6,8,16,6,22,9,11,2.0,
Cyprus,Hungary,19,7,5,15,6,7,7,4.0,4.0
Cyprus,Italy,11,10,12,9,11,8,12,3.0,
Cyprus,Israel,7,11,6,4,9,6,15,5.0,
Cyprus,Bulgaria,15,12,24,21,12,17,1,,12.0
Cyprus,Sweden,13,15,7,16,13,14,10,,1.0
Cyprus,Germany,9,21,23,17,20,20,22,,
Cyprus,France,14,6,2,5,5,4,5,7.0,6.0
Cyprus,Poland,24,24,25,25,25,25,9,,2.0
Cyprus,Australia,2,3,3,2,3,2,6,10.0,5.0
Cyprus,Serbia,5,16,8,24,10,13,16,,
Cyprus,Lithuania,18,17,10,3,17,15,8,,3.0
Cyprus,Croatia,3,18,15,11,15,10,25,1.0,
Cyprus,Russia,1,1,1,1,1,1,2,12.0,10.0
Cyprus,Spain,21,23,9,14,14,16,21,,
Cyprus,Latvia,20,5,13,18,7,12,14,,
Cyprus,Ukraine,22,4,20,19,19,18,4,,7.0
Cyprus,Malta,8,9,4,7,4,5,18,6.0,
Cyprus,Georgia,25,22,14,12,21,22,23,,
Cyprus,Austria,17,25,21,10,16,19,13,,
Cyprus,United Kingdom,12,20,17,20,23,21,19,,
Cyprus,Armenia,4,2,11,8,2,3,3,8.0,8.0
Czech Republic,Belgium,13,8,6,12,14,9,20,2.0,
Czech Republic,The Netherlands,2,6,3,7,6,4,18,7.0,
Czech Republic,Azerbaijan,20,12,12,17,16,17,5,,6.0
Czech Republic,Hungary,4,2,2,6,2,2,8,10.0,3.0
Czech Republic,Italy,9,20,19,8,18,16,22,,
Czech Republic,Israel,14,23,17,23,23,21,16,,
Czech Republic,Bulgaria,21,7,18,11,11,14,6,,5.0
Czech Republic,Sweden,1,1,1,1,1,1,9,12.0,2.0
Czech Republic,Germany,24,22,23,16,20,22,19,,
Czech Republic,France,7,13,4,5,4,6,11,5.0,
Czech Republic,Poland,23,21,21,22,22,23,4,,7.0
Czech Republic,Australia,3,10,10,15,17,11,10,,1.0
Czech Republic,Cyprus,22,18,25,18,9,19,12,,
Czech Republic,Serbia,25,19,16,19,21,20,13,,
Czech Republic,Lithuania,8,14,9,10,8,8,15,3.0,
Czech Republic,Croatia,5,3,8,2,3,3,25,8.0,
Czech Republic,Russia,18,25,24,25,25,25,2,,10.0
Czech Republic,Spain,10,17,15,20,10,15,17,,
Czech Republic,Latvia,11,11,11,14,7,10,14,1.0,
Czech Republic,Ukraine,19,24,22,24,24,24,1,,12.0
Czech Republic,Malta,12,4,7,4,5,5,24,6.0,
Czech Republic,Georgia,6,9,20,13,15,13,21,,
Czech Republic,Austria,16,16,5,9,12,12,7,,4.0
Czech Republic,United Kingdom,15,5,13,3,13,7,23,4.0,
Czech Republic,Armenia,17,15,14,21,19,18,3,,8.0
Denmark,Belgium,3,22,8,8,3,3,3,8.0,8.0
Denmark,Czech Republic,17,10,16,19,19,19,25,,
Denmark,The Netherlands,2,25,12,6,4,4,4,7.0,7.0
Denmark,Azerbaijan,23,14,25,26,13,26,22,,
Denmark,Hungary,16,12,21,20,22,24,17,,
Denmark,Italy,14,18,13,11,12,12,14,,
Denmark,Israel,11,19,2,16,9,9,16,2.0,
Denmark,Bulgaria,7,16,4,17,6,5,11,6.0,
Denmark,Sweden,5,20,17,10,2,7,1,4.0,12.0
Denmark,Germany,20,6,14,24,23,23,19,,
Denmark,France,6,23,18,2,20,14,9,,2.0
Denmark,Poland,21,17,15,18,26,25,6,,5.0
Denmark,Australia,1,26,1,1,1,2,2,10.0,10.0
Denmark,Cyprus,26,9,9,21,10,16,18,,
Denmark,Serbia,25,5,22,12,14,18,24,,
Denmark,Lithuania,13,15,7,7,11,6,5,5.0,6.0
Denmark,Croatia,12,3,23,22,25,22,26,,
Denmark,Russia,9,24,11,9,15,13,7,,4.0
Denmark,Spain,22,21,6,3,8,10,12,1.0,
Denmark,Latvia,18,13,19,4,16,15,13,,
Denmark,Ukraine,4,2,3,14,5,1,8,12.0,3.0
Denmark,Malta,19,8,24,13,17,20,23,,
Denmark,Georgia,24,1,10,23,24,21,20,,
Denmark,Austria,10,7,26,15,18,17,10,,1.0
Denmark,United Kingdom,8,11,5,25,7,8,15,3.0,
Denmark,Armenia,15,4,20,5,21,11,21,,
Estonia,Belgium,13,18,17,4,12,14,19,,
Estonia,Czech Republic,18,23,5,13,19,17,25,,
Estonia,The Netherlands,8,4,4,7,13,5,12,6.0,
Estonia,Azerbaijan,14,15,20,21,18,19,18,,
Estonia,Hungary,19,2,19,26,11,16,11,,
Estonia,Italy,10,6,10,24,9,11,13,,
Estonia,Israel,25,21,18,25,14,24,22,,
Estonia,Bulgaria,20,17,24,17,21,22,14,,
Estonia,Sweden,2,3,1,1,1,1,2,12.0,10.0
Estonia,Germany,21,20,25,16,22,25,23,,
Estonia,France,17,1,9,15,15,10,9,1.0,2.0
Estonia,Poland,22,9,23,22,23,23,10,,1.0
Estonia,Australia,3,11,2,5,7,2,7,10.0,4.0
Estonia,Cyprus,12,5,13,19,6,7,8,4.0,3.0
Estonia,Serbia,26,24,26,20,24,26,26,,
Estonia,Lithuania,7,14,8,9,2,6,6,5.0,5.0
Estonia,Croatia,11,19,16,12,5,13,24,,
Estonia,Russia,16,10,11,18,26,18,1,,12.0
